fid,gbifID,occurrenceID,order,family,genus,species
729,3584376629,URN:catalog:CLO:EBIRD:OBS1246521935,Passeriformes,Muscicapidae,Copsychus,Copsychus mindanensis
730,3660080251,URN:catalog:CLO:EBIRD:OBS1278134614,Pelecaniformes,Ardeidae,Egretta,Egretta garzetta
731,3690280587,URN:catalog:CLO:EBIRD:OBS1116027945,Pelecaniformes,Ardeidae,Egretta,Egretta garzetta
732,3649886435,URN:catalog:CLO:EBIRD:OBS1267078230,Passeriformes,Rhipiduridae,Rhipidura,Rhipidura nigritorquis
733,4354443081,URN:catalog:CLO:EBIRD:OBS1587381486,Piciformes,Picidae,Yungipicus,Yungipicus maculatus
734,4206467546,URN:catalog:CLO:EBIRD:OBS1430311531,Passeriformes,Corvidae,Corvus,
735,5378729552,URN:catalog:CLO:EBIRD:OBS2218373314,Passeriformes,Passeridae,Passer,Passer montanus
736,3654637058,URN:catalog:CLO:EBIRD:OBS1192868431,Pelecaniformes,Ardeidae,Egretta,Egretta garzetta
737,4320569348,URN:catalog:CLO:EBIRD:OBS1587381485,Passeriformes,Passeridae,Passer,Passer montanus
738,3612995662,URN:catalog:CLO:EBIRD:OBS1274963893,Passeriformes,Passeridae,Passer,Passer montanus
739,4300355548,URN:catalog:CLO:EBIRD:OBS1339270378,Passeriformes,Sturnidae,Aplonis,Aplonis panayensis
740,3687854456,URN:catalog:CLO:EBIRD:OBS1117992354,Columbiformes,Columbidae,Columba,Columba livia
741,4196025074,URN:catalog:CLO:EBIRD:OBS1323152444,Passeriformes,Motacillidae,Motacilla,Motacilla cinerea
742,4307517994,URN:catalog:CLO:EBIRD:OBS1331007137,Piciformes,Picidae,Yungipicus,Yungipicus maculatus
743,4777698872,URN:catalog:CLO:EBIRD:OBS1882512222,Passeriformes,Sturnidae,Aplonis,Aplonis panayensis
744,3160839643,URN:catalog:CLO:EBIRD:OBS934973639,Passeriformes,Rhipiduridae,Rhipidura,Rhipidura nigritorquis
745,3300817200,URN:catalog:CLO:EBIRD:OBS1011600865,Columbiformes,Columbidae,Geopelia,Geopelia striata
746,4702784488,URN:catalog:CLO:EBIRD:OBS1794104836,Passeriformes,Corvidae,Corvus,
747,3508367615,URN:catalog:CLO:EBIRD:OBS1054332203,Passeriformes,Passeridae,Passer,Passer montanus
748,3690469658,URN:catalog:CLO:EBIRD:OBS1267079743,Passeriformes,Motacillidae,Motacilla,Motacilla cinerea
749,4297754753,URN:catalog:CLO:EBIRD:OBS1324153261,Passeriformes,Corvidae,Corvus,
751,3154679777,URN:catalog:CLO:EBIRD:OBS917191085,Passeriformes,Corvidae,Corvus,
752,3234340877,URN:catalog:CLO:EBIRD:OBS845949801,Columbiformes,Columbidae,Spilopelia,Spilopelia chinensis
753,4823943110,URN:catalog:CLO:EBIRD:OBS1721892643,Coraciiformes,Alcedinidae,Todiramphus,Todiramphus chloris
754,5326883914,URN:catalog:CLO:EBIRD:OBS1956750322,Passeriformes,Rhipiduridae,Rhipidura,Rhipidura nigritorquis
755,3668534307,URN:catalog:CLO:EBIRD:OBS1241360930,Passeriformes,Rhipiduridae,Rhipidura,Rhipidura nigritorquis
756,3533406346,URN:catalog:CLO:EBIRD:OBS1129093314,Columbiformes,Columbidae,Geopelia,Geopelia striata
757,4824705869,URN:catalog:CLO:EBIRD:OBS1726712554,Passeriformes,Oriolidae,Oriolus,Oriolus chinensis
758,3576171645,URN:catalog:CLO:EBIRD:OBS1237382194,Passeriformes,Oriolidae,Oriolus,Oriolus chinensis
759,4783460683,URN:catalog:CLO:EBIRD:OBS1639025784,Passeriformes,Dicaeidae,Dicaeum,Dicaeum australe
760,3646024546,URN:catalog:CLO:EBIRD:OBS1145763448,Psittaciformes,Psittacidae,Loriculus,Loriculus philippensis
761,3589839198,URN:catalog:CLO:EBIRD:OBS1082871772,Columbiformes,Columbidae,Geopelia,Geopelia striata
763,3534874192,URN:catalog:CLO:EBIRD:OBS1200949594,Passeriformes,Acanthizidae,Gerygone,Gerygone sulphurea
765,3615995258,URN:catalog:CLO:EBIRD:OBS1132503818,Columbiformes,Columbidae,Geopelia,Geopelia striata
766,3674771461,URN:catalog:CLO:EBIRD:OBS1193427445,Passeriformes,Passeridae,Passer,Passer montanus
767,4197678949,URN:catalog:CLO:EBIRD:OBS1324149701,Passeriformes,Estrildidae,Lonchura,Lonchura atricapilla
768,4260936020,URN:catalog:CLO:EBIRD:OBS1467264194,Columbiformes,Columbidae,Columba,Columba livia
769,4239292560,URN:catalog:CLO:EBIRD:OBS1509740660,Passeriformes,Acanthizidae,Gerygone,Gerygone sulphurea
770,3242799514,URN:catalog:CLO:EBIRD:OBS915635962,Passeriformes,Nectariniidae,Cinnyris,Cinnyris jugularis
771,3673789331,URN:catalog:CLO:EBIRD:OBS1119956128,Passeriformes,Nectariniidae,Cinnyris,Cinnyris jugularis
773,3658036890,URN:catalog:CLO:EBIRD:OBS1278134619,Coraciiformes,Alcedinidae,Alcedo,Alcedo atthis
774,3618380945,URN:catalog:CLO:EBIRD:OBS1119129889,Columbiformes,Columbidae,Columba,Columba livia
775,3137410897,URN:catalog:CLO:EBIRD:OBS870451554,Passeriformes,Pycnonotidae,Pycnonotus,Pycnonotus goiavier
776,5657959861,URN:catalog:CLO:EBIRD:OBS2431090531,Piciformes,Megalaimidae,Psilopogon,Psilopogon haemacephalus
777,5512594859,URN:catalog:CLO:EBIRD:OBS2040682526,Passeriformes,Hirundinidae,Hirundo,Hirundo javanica
779,5403902437,URN:catalog:CLO:EBIRD:OBS2431090543,Passeriformes,Estrildidae,Lonchura,Lonchura atricapilla
780,4271281918,URN:catalog:CLO:EBIRD:OBS1385753877,Passeriformes,Hirundinidae,Hirundo,Hirundo javanica
781,4336585149,URN:catalog:CLO:EBIRD:OBS1357358310,Columbiformes,Columbidae,Columba,Columba livia
